timestamp,tweet_text,username,all_hashtags,followers_count
20-11-2020 18:11,"Mr. @realDonaldTrump, a World Class Businessman, the Multi-Billionaire, The Great Writer, a Wonderful Philanthropist, lose Georgia TWICE. #USAelections2020'",AdhikarAspires',['USAelections2020'],186
20-11-2020 18:09,@smitaprakash Miles to go before I sleep.....miles to go before I sleep !  It will go to House of representatives...wait and watch. #USAElections2020 #Election2020results #America #Georgia #Voter #USElections2020 #Trump2020 #Biden2020 #Biden #BidenHarris2020 #TrumpvsBiden',_itsKunalSingh',"['USAElections2020', 'Election2020results', 'America', 'Georgia', 'Voter', 'USElections2020', 'Trump2020', 'Biden2020', 'Biden', 'BidenHarris2020', 'TrumpvsBiden']",240
20-11-2020 18:08,"Michigan GOP lawmakers heckled on arrival for White House meeting   LAWMAKERS MEETING #TRUMP! #AMERICA IS A #DEMOCRACY, RIGHT! DO THEY KNOW WHAT SEPARATION OF POWERS IS!    https://t.co/1CFpIOleJY via @nbcnews   #USA #ElectionResults2020 #Election2020results #USAElections2020'",MullerDonUK',"['TRUMP', 'AMERICA', 'DEMOCRACY', 'USA', 'ElectionResults2020', 'Election2020results', 'USAElections2020']",130
20-11-2020 17:48,#USA\xe2\x80\x9cThe numbers reflect the verdict of the people.\xe2\x80\x9d #USAElections2020 https://t.co/3hFRclCYUW',xfailadis',"['USA', 'USAElections2020']",1305
20-11-2020 17:39,"""What is the Democrat controlled media so scared of? If the Democrats didn't commit fraud they have nothing to worry about. Being little transparent about the elections and its voting system is the worst way to act, as it seems like they are hiding something... #USAElections2020""",DRazonables',['USAElections2020'],55
20-11-2020 17:39,"""I wonder why the media around the world, with few exceptions, is not showing Trump's point of view. Democracy is about freedom of speech. I have the right to now what the Trump laywers are saying. And I want to read it and watch in mainstream media. #USAElections2020""",DRazonables',['USAElections2020'],55
20-11-2020 17:39,"The way I see things in US regarding the potential fraud is that the lawsuits have just started and anything can happen. Trump laywers say they have enough evidence of the fraud and now Justice is going to decide, nor the media or the democrats... #USAElections2020'",DRazonables',['USAElections2020'],55
20-11-2020 17:34,Slippery Joe trumped Trump to win the #USAElections2020.  @JoeBiden plays the rhythm for @realDonaldTrump dances on it. Enjoy! https://t.co/UmH08uEsaC',marcusadampah',['USAElections2020'],4471
20-11-2020 17:32,"""Some people voted for Trump because he's not a politician. He's worse than one : he lies 10 times more, makes wrong decisions 100 times more, makes scandals 1000 times more and 250000 times more Americans die under his presidency. #USA #USAElections2020""",Clearsighting1',"['USA', 'USAElections2020']",1
20-11-2020 17:31,"#USAElections2020  Only Trump\'s votes are ""legal"" , only states where Trump won the electoral votes have ""integrity"". Only those loyal to Trump are ""Patriots"" A vicious thinking cycle. https://t.co/USvdWDngWF'",elorapha',['USAElections2020'],517
20-11-2020 17:30,According to the witness affidavit of a high ranking military officer the #Smartmatic Voting machines were specifically designed in a way that the system could change the vote of each voter without being detected in order to steal #USAElections2020 https://t.co/JFl87UsqsZ',GreatGameIndia',"['Smartmatic', 'USAElections2020']",22731
20-11-2020 17:02,Quite an interesting thread from @EdwardNorton . #USAElections2020 https://t.co/DUdmkU3aPV',addhyan_pandey',['USAElections2020'],401
20-11-2020 17:01,Bully n chief &amp; racist in chief tryin his dam-nest 2 change the election results! Whether he kills us all off w/COVID19 #GOPGenocide #USAGenocide #Genocide This is what it is; stayUP #Resist #Ohio #USAElections2020 https://t.co/5qQB8B8cJt',blue_resist513',"['GOPGenocide', 'USAGenocide', 'Genocide', 'Resist', 'Ohio', 'USAElections2020']",119
20-11-2020 16:59,Good grief... How many times has @realDonaldTrump lost Georgia??? He must have the worst record for Presidential losses ever now! \xf0\x9f\xa4\xa3  #lovingthis #USAElections2020 #lockdownamusement',EqualityCardsUK',"['lovingthis', 'USAElections2020', 'lockdownamusement']",102
20-11-2020 16:58,"""Trump Organization's consulting payments to Ivanka Trump are focus of NY tax probe   https://t.co/NYK1Mo4CvK via @cbsmoneywatch   #USA #America @realDonaldTrump #Election2020 #Elections #ElectionResults2020 #Election2020results @IvankaTrump @CBSNews @NBCNews #USAElections2020""",MullerDonUK',"['USA', 'America', 'Election2020', 'Elections', 'ElectionResults2020', 'Election2020results', 'USAElections2020']",130
20-11-2020 16:58,"""And he called a few countries 'shit hole' countries!  Making a #BananaRepublic of the world's oldest #Democracy!  #DonaldTrump #USElections2020 #USAElections2020 https://t.co/xTjQWroX65""",thestratink',"['BananaRepublic', 'Democracy', 'DonaldTrump', 'USElections2020', 'USAElections2020']",1
20-11-2020 16:58,Many more happy returns of the Mr President.. Wish you all success.. With lots of love \xf0\x9f\x92\x95\xf0\x9f\x92\x95 @JoeBiden  #USAElections2020  #JoeBidenKamalaHarris2020  #JoeBiden2020',rsadhana88',"['USAElections2020', 'JoeBidenKamalaHarris2020', 'JoeBiden2020']",199
20-11-2020 16:57,Oh man. @CNN \xf0\x9f\xa4\xad @larryelder \xf0\x9f\x92\xaf One of the best parts of the presser was when Giuliani asked a reporter which publication they were with. They said #CNN. Giuliani and the rest of the team/room cracks into a chorus of laughs.\xf0\x9f\x98\x86 #USAElections2020  #ElectionIntegrity https://t.co/NWqRtIItcl',PaapaAbekah',"['CNN', 'USAElections2020', 'ElectionIntegrity']",902
20-11-2020 16:53,"Trump\'s Lawsuit score is 1x31 with one ""win"" that doesn\'t change anything.  The only place where fraud is massive mentioned are the president\'d Twitter, his marketing materials and blogsphere. #USAElections2020 #VotersDecided #Election2020 #JusticeMatters'",emanweb',"['USAElections2020', 'VotersDecided', 'Election2020', 'JusticeMatters']",569
20-11-2020 16:52,California Governor Attends HUGE Party Without Masks Despite Virus! https://t.co/6rt863tape #EveryVoteCounts #elections #Election2020 #ElectionResults2020 #Biden2020 #Trump2020 #COVID19 #coronavirus #vaccine #vaccination #BillGatesBioTerrorist #eugenics #USAElections2020 #America',DRandall',"['EveryVoteCounts', 'elections', 'Election2020', 'ElectionResults2020', 'Biden2020', 'Trump2020', 'COVID19', 'coronavirus', 'vaccine', 'vaccination', 'BillGatesBioTerrorist', 'eugenics', 'USAElections2020', 'America']",1863
20-11-2020 16:51,The #Republicans are killing #America #Democracy  the way #Putin wants it . #USAElections2020',Kennedytrends',"['Republicans', 'America', 'Democracy', 'Putin', 'USAElections2020']",84
20-11-2020 16:50,"\xe2\x80\x9cDon\xe2\x80\x99t go chasing waterfalls, please stick to the rivers and the lakes that you\xe2\x80\x99re used to. I know that you\xe2\x80\x99re going to have it your way or nothing at all, but I think you\xe2\x80\x99re moving too fast...\xe2\x80\x9d #Guliani #trump #biden #usa #USAElections2020 #election https://t.co/MIRL1c1WkF https://t.co/QKhRelWB5g'",bentroadstavern',"['Guliani', 'trump', 'biden', 'usa', 'USAElections2020', 'election']",555
20-11-2020 16:45,"""@realDonaldTrump I'd be embarrassed if something like this happened in British politics. You lost, its over, move on. All you are doing now is making America the laughing stock of the World. #USAElections2020""",atheismearth',['USAElections2020'],11
20-11-2020 16:42,via @NYTimes We now know how you address \xe2\x81\xa6@realDonaldTrump\xe2\x81\xa9 as he slides toward endpoint - Mr \xe2\x80\x98Wannabe\xe2\x80\x99 Fraudulency! #TrumpMeltdown #RudyIsMelting #USAElections2020  https://t.co/BXuG0qaGSD',Mabbes1408',"['TrumpMeltdown', 'RudyIsMelting', 'USAElections2020']",1151
20-11-2020 16:39,"@themilsource Want to join the #Chinese #Communist Party (#CCP)? This US based website Seems very keen on #CCP\xe2\x80\x99s public sales pitch, but ignores human rights abuses &amp; #CCPs self proclaimed stance as an enemy of the #USAElections2020  @appledaily_hk @jenniferatntd @naomirwolf @crossroads_josh https://t.co/RmueodJywI'",BrianOSheaSPI',"['Chinese', 'Communist', 'CCP', 'CCP', 'CCPs', 'USAElections2020']",829
20-11-2020 16:36,Get this Limited edition Gold and Silver Plated President Trump 2020 coin!  Get it Here: https://t.co/eWMtmcIPUI  #Trump2020 #TrumpVsBidenFight  #ElectionDay #USAElections2020 #USElection2020 #Trump #Vote2020 https://t.co/94NXPUT3vt',Inforbooth',"['Trump2020', 'TrumpVsBidenFight', 'ElectionDay', 'USAElections2020', 'USElection2020', 'Trump', 'Vote2020']",6
20-11-2020 16:35,Sleeping with the enemy  #POTUS #POTUS46 #POTUS45 #BidenHarrisIn5Words #Biden #Trump #TrumpvsBiden #SleepyJoe #USAElections2020 #USElectionResults #UsUnited https://t.co/MlwRGEvwf3',SohaibAlvi',"['POTUS', 'POTUS46', 'POTUS45', 'BidenHarrisIn5Words', 'Biden', 'Trump', 'TrumpvsBiden', 'SleepyJoe', 'USAElections2020', 'USElectionResults', 'UsUnited']",1282
20-11-2020 16:31,Who is the biggest loser ever? @realDonaldTrump is the biggest loser ever election history. Trump lost twice the Georgia election and his supporter had to certify the election result. #USAElections2020 https://t.co/g45XAl7S6Y',xyz4deal',['USAElections2020'],376
20-11-2020 16:29,"Country over party, country over Trump. #USAElections2020 #USA'",mrscmgentry',"['USAElections2020', 'USA']",65
20-11-2020 16:27,"""\xf0\x9f\x94\xbbWe've launched a new PSR research-based interview series!  In the first interview, @danielbeland speaks about #donaldtrump, #populism and politics of insecurity  \xf0\x9f\x91\x89\xf0\x9f\x8f\xbf More: https://t.co/8OlAQ6oXl6  @PolStudiesAssoc @SAGECQPolitics @mcgillu #democracy #trump #USAElections2020 #USA https://t.co/PFDDaCfed4""",PolStudiesRev',"['donaldtrump', 'populism', 'democracy', 'trump', 'USAElections2020', 'USA']",2701
20-11-2020 16:16,Americans \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 Voters pass from disagreement to Hate... this is only because of the highest authority in the country! #America #USAElections2020 #leadership',VictorEGomez2',"['America', 'USAElections2020', 'leadership']",27
20-11-2020 16:12,White supremacy has never been \xe2\x80\x9cin touch with reality\xe2\x80\x9d. This is yet another frightening iteration...#USAElections2020 https://t.co/5puWHBEx8J',RyeSJChair',['USAElections2020'],2264
20-11-2020 16:09,New learning for WHO @WHO : #Corona #Virus does not spread during #Election Rallies !! All #Election rallies are pre-vaccinated \xf0\x9f\x98\x9c! #covid #Covid_19 #CovidVaccine #corona #coronavirus #USAElections2020 #biharelection2020 #BiharElections2020',nayanbdegda',"['Corona', 'Virus', 'Election', 'Election', 'covid', 'Covid_19', 'CovidVaccine', 'corona', 'coronavirus', 'USAElections2020', 'biharelection2020', 'BiharElections2020']",162
20-11-2020 16:05,How\xe2\x80\x99s #MikePompeo\xe2\x80\x99s \xe2\x80\x9csmooth transition\xe2\x80\x9d to a second #Trump term going? #USAElections2020 #USElectionResults2020 #USPolitics',Comeagutser',"['MikePompeo', 'Trump', 'USAElections2020', 'USElectionResults2020', 'USPolitics']",844
20-11-2020 16:01,#TrumpCorruption  #GOPCorruptionOverCountry  #profiting from #cancer  #narcissisticabuse of #USAElections2020 #IvankaTrump #Mnuchin  #trumppandemicfailure is deliberate https://t.co/x0FbbFWEC0',greenlandhull58',"['TrumpCorruption', 'GOPCorruptionOverCountry', 'profiting', 'cancer', 'narcissisticabuse', 'USAElections2020', 'IvankaTrump', 'Mnuchin', 'trumppandemicfailure']",803
20-11-2020 15:59,"""#Shamefull thieves Turkey STEALS Syrian Olive oil from #Afrin (after invading and murdering brutaly Kurds) and tries to sell it to #US That's how turkey makes money, by trading the stolen from others  #USAElections2020 #USAelection2020 #USElectionResults  https://t.co/l5NG0C2xGj""",HFirstpriest',"['Shamefull', 'Afrin', 'US', 'USAElections2020', 'USAelection2020', 'USElectionResults']",161
20-11-2020 15:56,"@cnni @StCollinson @MaeveReston Povisions of fairly long time for winning President of #USA @POTUS to get in to office after election result is out, is reasonably time for exiting President to get mentally reconciled and fnish agendas while stiil enjoying power for few months, lightly put. #USAElections2020'",usdpglobal',"['USA', 'USAElections2020']",547
20-11-2020 15:56,"""Trump\xe2\x80\x99s final days reflect a pro-industry agenda taken to the extreme, in disregard for imperiled wildlife, #climatechange &amp; damage to human #health from #AirPollution"" https://t.co/dhXGMZtSFH #HealthyRecovery #BuildBackBetter #USAElections2020'",GCHAlliance',"['climatechange', 'health', 'AirPollution', 'HealthyRecovery', 'BuildBackBetter', 'USAElections2020']",6059
20-11-2020 15:46,Words fail \xf0\x9f\x99\x84 @marionmckeone was at the #RudyGiuliani presser today #USAElections2020 https://t.co/z9acTxo5DT',colm_oreilly71',"['RudyGiuliani', 'USAElections2020']",363
20-11-2020 15:45,President-elect\xe2\x80\x99s victory in Georgia marks the first time a Democratic presidential contender has won the state since 1992. #USAElections2020 https://t.co/5Ytk1y0lTV',FerdinandUWIMAN',['USAElections2020'],8460
20-11-2020 15:42,Primetime 20th November 2020  #Politics #Hyderabad #Telangana #Covid_19 #coronavirus #RahulGandhi #educacion #USAElections2020 #MumbaiCity #Ktr  @trspartyonline @INCTelangana @MinisterKTR @KTRTRS @USCGHyderabad @GHMCOnline @amjedmbt @HiHyderabad @HydForum https://t.co/cHcdvgOr0O',FarzanAhmedHyd',"['Politics', 'Hyderabad', 'Telangana', 'Covid_19', 'coronavirus', 'RahulGandhi', 'educacion', 'USAElections2020', 'MumbaiCity', 'Ktr']",229
20-11-2020 15:39,#USAElections2020  What you thank ? https://t.co/VrYlHjHAbE',anwaraljabal',['USAElections2020'],1982
20-11-2020 15:36,#USA needs to become assertive in an existential situation. Override the regs on transition of power. Remove #Trump now and install #Biden. Immediately. #COVIDIOTS #USAElections2020 https://t.co/xE01PHtCp9',shibumiMC',"['USA', 'Trump', 'Biden', 'COVIDIOTS', 'USAElections2020']",494
20-11-2020 15:34,"""@DoritosUK I'm rather confused. I've been entering these codes for a while. And voting for myself to win of course. But every I play it says I haven't won a ps5. But I did. I know I did. This is fraud. Ask @realDonaldTrump he knows I won. #USAElections2020 #fraud #IWonTheElection https://t.co/BCps1DRJAn""",mikeslate21',"['USAElections2020', 'fraud', 'IWonTheElection']",59
20-11-2020 15:29,How many of you believe that @POTUS @realDonaldTrump will be able to prove the fraud in the #USAElections2020  And retains his seat as the President of USA',gauaggbjp',['USAElections2020'],2607
20-11-2020 15:27,According to Martin Armstrong @StrongEconomics as much as  3.8 million votes were fraudulent or stolen during #USAElections2020 Incredible ? Watch and listen carefully https://t.co/85VTRjdU8u https://t.co/zqXtrELDoR',SilvioDanailov',['USAElections2020'],11232
20-11-2020 15:27,"According to Audrey Glover,election monitor with over 15 years of experience, despite being very different from past polls, 2020 election was very good and the American people will be able to produce good elections again in the future. #USAElections2020  https://t.co/TLyq1Y6MWM'",memo98slovakia',['USAElections2020'],70
