"level","id","parent_id","object_id","object_type","query_status","query_time","query_type","message","from.name","from.id","created_time","updated_time","comments.data","comments.summary.order","comments.summary.total_count","comments.summary.can_comment","id"
"0","1","","13652355666","seed","","","","","","","","","","","","",""
"1","2","1","13652355666_10158982025645667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","The Capitol Christmas tree has arrived and been set up on the West Lawn of the U.S. Capitol Building in Washington, D.C.","USA TODAY","13652355666","2020-11-20T19:32:49+0000","2020-11-20T19:33:35+0000","","ranked","1","True","13652355666_10158982025645667"
"1","3","1","13652355666_10158981414005667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","A visit to the mall to sit on the jolly old elf's lap may be yet another tradition knocked to the wayside or dramatically altered by COVID-19, as some stores cancel in-person visits.","USA TODAY","13652355666","2020-11-20T19:32:47+0000","2020-11-20T19:34:01+0000","","ranked","1","True","13652355666_10158981414005667"
"1","4","1","13652355666_10158981569560667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","After the Pope's Instagram account ""liked"" a risquÃ© photo, the Pope's social media team reached out to Instagram for an explanation.","USA TODAY","13652355666","2020-11-20T19:11:54+0000","2020-11-20T19:36:28+0000","","ranked","66","True","13652355666_10158981569560667"
"1","5","1","13652355666_10158981401840667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Open enrollment for 2021 benefits will kick off in November when companies ask their workers to pick everything from medical and dental plans to long-term disability insurance.","USA TODAY","13652355666","2020-11-20T18:49:21+0000","2020-11-20T18:49:23+0000","","ranked","8","True","13652355666_10158981401840667"
"1","6","1","13652355666_10158981560800667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","The outlook continues to be clouded by COVID-19 but a team of University of Michigan economists sees encouraging signs that could bring economic life close to normal by the end of 2021.","USA TODAY","13652355666","2020-11-20T18:06:26+0000","2020-11-20T19:31:18+0000","","ranked","37","True","13652355666_10158981560800667"
"1","7","1","13652355666_10158981380160667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","It's smart to set credit goals, and good credit is a common starting point. You can't be exactly sure how fast you'll get there, but if you follow the right financial habits, you'll make steady progress.","USA TODAY","13652355666","2020-11-20T17:32:01+0000","2020-11-20T19:17:39+0000","","ranked","32","True","13652355666_10158981380160667"
"1","8","1","13652355666_10158981488265667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","MSNBC's Rachel Maddow thought COVID-19 'might kill' her longtime partner Susan Mikula after Mikula tested positive for the virus. https://bit.ly/3kOMson","USA TODAY","13652355666","2020-11-20T17:04:51+0000","2020-11-20T19:24:50+0000","","ranked","35","True","13652355666_10158981488265667"
"1","9","1","13652355666_10158981462790667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","If there were a magic savings number that guaranteed financial security throughout retirement, saving for that milestone would be a lot easier.","USA TODAY","13652355666","2020-11-20T17:03:55+0000","2020-11-20T19:30:14+0000","","ranked","33","True","13652355666_10158981462790667"
"1","10","1","13652355666_10158981397055667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Grammy, Emmy and Tony winner Lin-Manuel Miranda kicked off the show with a strong message about Latin music. Speaking in Spanish and English, he said Latin music ""unites all of us and makes us human"" and later adding: ""This is our night.""","USA TODAY","13652355666","2020-11-20T16:23:44+0000","2020-11-20T18:49:57+0000","","ranked","28","True","13652355666_10158981397055667"
"1","11","1","13652355666_10158981586465667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Activists expect Biden not only to use executive orders to roll back a range of anti-LGBTQ policies enacted by Trump, but also appoint an LGBTQ leader to his cabinet and choose openly LGBTQ judges.","USA TODAY","13652355666","2020-11-20T16:01:41+0000","2020-11-20T19:29:12+0000","","ranked","83","True","13652355666_10158981586465667"
"1","12","1","13652355666_10158976719765667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Rolling over is child's play! This airman's dog knows how to salute the flag! ðŸ‡ºðŸ‡¸","USA TODAY","13652355666","2020-11-20T16:00:40+0000","2020-11-20T18:15:59+0000","","ranked","27","True","13652355666_10158976719765667"
"1","13","1","13652355666_10158981370100667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Two Republican senators on Thursday sharply denounced the last-ditch efforts by President Donald Trump and his legal team to persuade state and local politicians to reverse the Nov. 3 election, which he lost to President-elect Joe Biden.","USA TODAY","13652355666","2020-11-20T15:42:03+0000","2020-11-20T19:37:01+0000","","ranked","585","True","13652355666_10158981370100667"
"1","14","1","13652355666_10158981487635667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Rudy Giuliani had a very bad hair day. https://bit.ly/3nEHDjq","USA TODAY","13652355666","2020-11-20T15:37:32+0000","2020-11-20T19:34:31+0000","","ranked","170","True","13652355666_10158981487635667"
"1","15","1","13652355666_10158977083600667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","What kind of grocery shopper are you? Take this quiz to find out.","USA TODAY","13652355666","2020-11-20T15:17:43+0000","2020-11-20T18:16:29+0000","","ranked","25","True","13652355666_10158977083600667"
"1","16","1","13652355666_10158981358870667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Pfizer and its German partner BioNTech will seek emergency use authorization from the Food and Drug Administration for its COVID-19 candidate vaccine. The companies intend to submit the request Friday.","USA TODAY","13652355666","2020-11-20T14:41:05+0000","2020-11-20T19:14:40+0000","","ranked","44","True","13652355666_10158981358870667"
"1","17","1","13652355666_407567713710783","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","The Capitol Christmas Tree arrives in Washington, D.C.","USA TODAY","13652355666","2020-11-20T14:00:55+0000","2020-11-20T19:35:00+0000","","ranked","561","True","13652355666_407567713710783"
"1","18","1","13652355666_10158980973880667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Don't worry, kids. Dr. Anthony Fauci, the nation's leading infectious disease expert, told us Santa is ""not going to be spreading any infections"" this holiday.","USA TODAY","13652355666","2020-11-20T13:35:20+0000","2020-11-20T18:17:13+0000","","ranked","90","True","13652355666_10158980973880667"
"1","19","1","13652355666_10158979200615667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Growing up in Mississippi, Noah Harris didn't picture himself going to Harvard. Now he's making history there and passing on an important lesson to kids everywhere.","USA TODAY","13652355666","2020-11-20T13:03:23+0000","2020-11-20T15:08:52+0000","","ranked","42","True","13652355666_10158979200615667"
"1","20","1","13652355666_10158980942975667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Skepticism runs high about whether Joe Biden's history can translate to the post-Trump era. But even veteran political hands from both parties say they haven't given up entirely on the idea that relationships still matter in Washington.","USA TODAY","13652355666","2020-11-20T12:42:17+0000","2020-11-20T19:22:49+0000","","ranked","192","True","13652355666_10158980942975667"
"1","21","1","13652355666_10158981110080667","data","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","Pfizer and its partner BioNTech are seeking emergency use authorization from the Food and Drug Administration, possibly as early as Friday, two days after announcing its COVID-19 vaccine is 95% effective.","USA TODAY","13652355666","2020-11-20T12:30:41+0000","2020-11-20T18:37:27+0000","","ranked","63","True","13652355666_10158981110080667"
"1","22","1","13652355666","offcut","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","","","","","","","","","",""
"1","23","1","13652355666","headers","fetched (200)","2020-11-21 01:07:06.798330","Facebook:/<page-id>/posts","","","","","","","","","",""
